# Frobenius number = 7909005, Frobenius root = 416, Apery max = 7918978
coefficients = [9973, 89989, 89981, 89977, 89969, 89963, 89959, 89951, 89939, 89929, 89923, 
                89917, 89909, 89899, 89891, 89881]

580, 269851, 259878
581, 4139376, 4129403
582, 269853, 259880
583, 4139378, 4129405
584, 269855, 259882
585, 4139380, 4129407
586, 269857, 259884
587, 4139382, 4129409
588, 269859, 259886
589, 4139384, 4129411
590, 269861, 259888
591, 4139386, 4129413
592, 269863, 259890
593, 4139388, 4129415
594, 269865, 259892
595, 4139390, 4129417
596, 269867, 259894
597, 4139392, 4129419
598, 269869, 259896
599, 4139394, 4129421
600, 269871, 259898
601, 4139396, 4129423
602, 269873, 259900
603, 4139398, 4129425
604, 269875, 259902
605, 4139400, 4129427
606, 269877, 259904
607, 4139402, 4129429
608, 269879, 259906
609, 4139404, 4129431
610, 269881, 259908
611, 4139406, 4129433
612, 269883, 259910
613, 4139408, 4129435
614, 269885, 259912
615, 4139410, 4129437
616, 269887, 259914
617, 4139412, 4129439
618, 269889, 259916
619, 4139414, 4129441
620, 269891, 259918
621, 4139416, 4129443
622, 269893, 259920
623, 4139418, 4129445
624, 269895, 259922
625, 4139420, 4129447
626, 269897, 259924
627, 4139422, 4129449
628, 269899, 259926
629, 4139424, 4129451
630, 269901, 259928
631, 4139426, 4129453
632, 269903, 259930
633, 4139428, 4129455
634, 269905, 259932
635, 4139430, 4129457
636, 269907, 259934
637, 4139432, 4129459
638, 269909, 259936
639, 4139434, 4129461
640, 269911, 259938
641, 4139436, 4129463
642, 269913, 259940
643, 4139438, 4129465
644, 269915, 259942
645, 4139440, 4129467
646, 269917, 259944
647, 4139442, 4129469
648, 269919, 259946
649, 4139444, 4129471
650, 269921, 259948
651, 4139446, 4129473
652, 269923, 259950
653, 4139448, 4129475
654, 269925, 259952
655, 4139450, 4129477
656, 269927, 259954
657, 4139452, 4129479
658, 269929, 259956
659, 4139454, 4129481
660, 269931, 259958
661, 4139456, 4129483
662, 269933, 259960
663, 4139458, 4129485
664, 269935, 259962
665, 4139460, 4129487
666, 269937, 259964
667, 4139462, 4129489
668, 269939, 259966
669, 4139464, 4129491
670, 269941, 259968
671, 4139466, 4129493
672, 269943, 259970
673, 4139468, 4129495
674, 359702, 349729
675, 4139470, 4129497
676, 269947, 259974
677, 4229229, 4219256
678, 359706, 349733
679, 4139474, 4129501
680, 269951, 259978
681, 4229233, 4219260
682, 359710, 349737
683, 4139478, 4129505
684, 269955, 259982
685, 4229237, 4219264
686, 359714, 349741
687, 4139482, 4129509
688, 269959, 259986
689, 4229241, 4219268
690, 359718, 349745
691, 4139486, 4129513
692, 359720, 349747
693, 4229245, 4219272
694, 359722, 349749
695, 4229247, 4219274
696, 269967, 259994
697, 4229249, 4219276
698, 359726, 349753
699, 4139494, 4129521
700, 359728, 349755
701, 4229253, 4219280
702, 359730, 349757
703, 4229255, 4219282
704, 359732, 349759
705, 4229257, 4219284
706, 359734, 349761
707, 4229259, 4219286
708, 359736, 349763
709, 4229261, 4219288
710, 359738, 349765
711, 4229263, 4219290
712, 359740, 349767
713, 4229265, 4219292
714, 359742, 349769
715, 4229267, 4219294
716, 359744, 349771
717, 4229269, 4219296
718, 359746, 349773
719, 4229271, 4219298
720, 359748, 349775
721, 4229273, 4219300
722, 359750, 349777
723, 4229275, 4219302
724, 359752, 349779
725, 4229277, 4219304
726, 359754, 349781
727, 4229279, 4219306
728, 359756, 349783
729, 4229281, 4219308
730, 359758, 349785
731, 4229283, 4219310
732, 359760, 349787
733, 4229285, 4219312
734, 359762, 349789
735, 4229287, 4219314
736, 359764, 349791
737, 4229289, 4219316
738, 359766, 349793
739, 4229291, 4219318
740, 359768, 349795
741, 4229293, 4219320
742, 359770, 349797
743, 4229295, 4219322
744, 359772, 349799
745, 4229297, 4219324
746, 359774, 349801
747, 4229299, 4219326
748, 359776, 349803
749, 4229301, 4219328
750, 359778, 349805
751, 4229303, 4219330
752, 359780, 349807
753, 4229305, 4219332
754, 359782, 349809
755, 4229307, 4219334
756, 359784, 349811
757, 4229309, 4219336
758, 359786, 349813
759, 4229311, 4219338
760, 359788, 349815
761, 4229313, 4219340
762, 359790, 349817
763, 4229315, 4219342
764, 359792, 349819
765, 4229317, 4219344
766, 359794, 349821
767, 4229319, 4219346
768, 359796, 349823
769, 4229321, 4219348
770, 359798, 349825
771, 4229323, 4219350
772, 359800, 349827
773, 4229325, 4219352
774, 359802, 349829
775, 4229327, 4219354
776, 359804, 349831
777, 4229329, 4219356
778, 359806, 349833
779, 4229331, 4219358
780, 359808, 349835
781, 4229333, 4219360
782, 359810, 349837
783, 4229335, 4219362
784, 359812, 349839
785, 4229337, 4219364
786, 359814, 349841
787, 4229339, 4219366
788, 359816, 349843
789, 4229341, 4219368
790, 359818, 349845
791, 4229343, 4219370
792, 359820, 349847
793, 4229345, 4219372
794, 359822, 349849
795, 4229347, 4219374
796, 359824, 349851
797, 4229349, 4219376
798, 359826, 349853
799, 4229351, 4219378
800, 359828, 349855
801, 4229353, 4219380
802, 359830, 349857
803, 4229355, 4219382
804, 359832, 349859
805, 4229357, 4219384
806, 359834, 349861
807, 4229359, 4219386
808, 359836, 349863
809, 4229361, 4219388
810, 359838, 349865
811, 4229363, 4219390
812, 359840, 349867
813, 4229365, 4219392
814, 359842, 349869
815, 4229367, 4219394
816, 359844, 349871
817, 4229369, 4219396
818, 359846, 349873
819, 4229371, 4219398
820, 359848, 349875
821, 4229373, 4219400
822, 359850, 349877
823, 4229375, 4219402
824, 359852, 349879
825, 4229377, 4219404
826, 359854, 349881
827, 4229379, 4219406
828, 359856, 349883
829, 4229381, 4219408
830, 359858, 349885
831, 4229383, 4219410
832, 359860, 349887
833, 4229385, 4219412
834, 359862, 349889
835, 4229387, 4219414
836, 359864, 349891
837, 4229389, 4219416
838, 359866, 349893
839, 4229391, 4219418
840, 359868, 349895
841, 4229393, 4219420
842, 359870, 349897
843, 4229395, 4219422
844, 359872, 349899
845, 4229397, 4219424
846, 359874, 349901
847, 4229399, 4219426
848, 359876, 349903
849, 4229401, 4219428
850, 359878, 349905
851, 4229403, 4219430
852, 359880, 349907
853, 4229405, 4219432
854, 359882, 349909
855, 4229407, 4219434
856, 359884, 349911
857, 4229409, 4219436
858, 359886, 349913
859, 4229411, 4219438
860, 359888, 349915
861, 4229413, 4219440
862, 359890, 349917
863, 4229415, 4219442
864, 359892, 349919
865, 4229417, 4219444
866, 359894, 349921
867, 4229419, 4219446
868, 359896, 349923
869, 4229421, 4219448
870, 359898, 349925
871, 4229423, 4219450
872, 359900, 349927
873, 4229425, 4219452
874, 359902, 349929
875, 4229427, 4219454
876, 359904, 349931
877, 4229429, 4219456
878, 359906, 349933
879, 4229431, 4219458
880, 359908, 349935
881, 4229433, 4219460
882, 359910, 349937
883, 4229435, 4219462
884, 359912, 349939
885, 4229437, 4219464
886, 359914, 349941
887, 4229439, 4219466
888, 359916, 349943
889, 4229441, 4219468
890, 359918, 349945
891, 4229443, 4219470
892, 359920, 349947
893, 4229445, 4219472
894, 359922, 349949
895, 4229447, 4219474
896, 359924, 349951
897, 4229449, 4219476
898, 359926, 349953
899, 4229451, 4219478
900, 359928, 349955
901, 4229453, 4219480
902, 359930, 349957
903, 4229455, 4219482
904, 359932, 349959
905, 4229457, 4219484
906, 449691, 439718
907, 4229459, 4219486
908, 359936, 349963
909, 4319218, 4309245
910, 449695, 439722
911, 4229463, 4219490
912, 359940, 349967
913, 4319222, 4309249
914, 449699, 439726
915, 4229467, 4219494
916, 359944, 349971
917, 4319226, 4309253
918, 449703, 439730
919, 4229471, 4219498
920, 359948, 349975
921, 4319230, 4309257
922, 449707, 439734
923, 4229475, 4219502
924, 449709, 439736
925, 4319234, 4309261
926, 449711, 439738
927, 4319236, 4309263
928, 359956, 349983
929, 4319238, 4309265
930, 449715, 439742
931, 4229483, 4219510
932, 449717, 439744
933, 4319242, 4309269
934, 449719, 439746
935, 4319244, 4309271
936, 449721, 439748
937, 4319246, 4309273
938, 449723, 439750
939, 4319248, 4309275
940, 449725, 439752
941, 4319250, 4309277
942, 449727, 439754
943, 4319252, 4309279
944, 449729, 439756
945, 4319254, 4309281
946, 449731, 439758
947, 4319256, 4309283
948, 449733, 439760
949, 4319258, 4309285
950, 449735, 439762
951, 4319260, 4309287
952, 449737, 439764
953, 4319262, 4309289
954, 449739, 439766
955, 4319264, 4309291
956, 449741, 439768
957, 4319266, 4309293
958, 449743, 439770
959, 4319268, 4309295
960, 449745, 439772
961, 4319270, 4309297
962, 449747, 439774
963, 4319272, 4309299
964, 449749, 439776
965, 4319274, 4309301
966, 449751, 439778
967, 4319276, 4309303
968, 449753, 439780
969, 4319278, 4309305
970, 449755, 439782
971, 4319280, 4309307
972, 449757, 439784
973, 4319282, 4309309
974, 449759, 439786
975, 4319284, 4309311
976, 449761, 439788
977, 4319286, 4309313
978, 449763, 439790
979, 4319288, 4309315
980, 449765, 439792
981, 4319290, 4309317
982, 449767, 439794
983, 4319292, 4309319
984, 449769, 439796
985, 4319294, 4309321
986, 449771, 439798
987, 4319296, 4309323
988, 449773, 439800
989, 4319298, 4309325
990, 449775, 439802
991, 4319300, 4309327
992, 449777, 439804
993, 4319302, 4309329
994, 449779, 439806
995, 4319304, 4309331
996, 449781, 439808
997, 4319306, 4309333
998, 449783, 439810
999, 4319308, 4309335
1000, 449785, 439812
1001, 4319310, 4309337
1002, 449787, 439814
1003, 4319312, 4309339
1004, 449789, 439816
1005, 4319314, 4309341
1006, 449791, 439818
1007, 4319316, 4309343
1008, 449793, 439820
1009, 4319318, 4309345
1010, 449795, 439822
1011, 4319320, 4309347
1012, 449797, 439824
1013, 4319322, 4309349
1014, 449799, 439826
1015, 4319324, 4309351
1016, 449801, 439828
1017, 4319326, 4309353
1018, 449803, 439830
1019, 4319328, 4309355
1020, 449805, 439832
1021, 4319330, 4309357
1022, 449807, 439834
1023, 4319332, 4309359
1024, 449809, 439836
1025, 4319334, 4309361
1026, 449811, 439838
1027, 4319336, 4309363
1028, 449813, 439840
1029, 4319338, 4309365
1030, 449815, 439842
1031, 4319340, 4309367
1032, 449817, 439844
1033, 4319342, 4309369
1034, 449819, 439846
1035, 4319344, 4309371
1036, 449821, 439848
1037, 4319346, 4309373
1038, 449823, 439850
1039, 4319348, 4309375
1040, 449825, 439852
1041, 4319350, 4309377
1042, 449827, 439854
1043, 4319352, 4309379
1044, 449829, 439856
1045, 4319354, 4309381
1046, 449831, 439858
1047, 4319356, 4309383
1048, 449833, 439860
1049, 4319358, 4309385
1050, 449835, 439862
1051, 4319360, 4309387
1052, 449837, 439864
1053, 4319362, 4309389
1054, 449839, 439866
1055, 4319364, 4309391
1056, 449841, 439868
1057, 4319366, 4309393
1058, 449843, 439870
1059, 4319368, 4309395
1060, 449845, 439872
1061, 4319370, 4309397
1062, 449847, 439874
1063, 4319372, 4309399
1064, 449849, 439876
1065, 4319374, 4309401
1066, 449851, 439878
1067, 4319376, 4309403
1068, 449853, 439880
1069, 4319378, 4309405
1070, 449855, 439882
1071, 4319380, 4309407
1072, 449857, 439884
1073, 4319382, 4309409
1074, 449859, 439886
1075, 4319384, 4309411
1076, 449861, 439888
1077, 4319386, 4309413
1078, 449863, 439890
1079, 4319388, 4309415
1080, 449865, 439892
1081, 4319390, 4309417
1082, 449867, 439894
1083, 4319392, 4309419
1084, 449869, 439896
1085, 4319394, 4309421
1086, 449871, 439898
1087, 4319396, 4309423
1088, 449873, 439900
1089, 4319398, 4309425
1090, 449875, 439902
1091, 4319400, 4309427
1092, 449877, 439904
1093, 4319402, 4309429
1094, 449879, 439906
1095, 4319404, 4309431
1096, 449881, 439908
1097, 4319406, 4309433
1098, 449883, 439910
1099, 4319408, 4309435
1100, 449885, 439912
1101, 4319410, 4309437
1102, 449887, 439914
1103, 4319412, 4309439
1104, 449889, 439916
1105, 4319414, 4309441
1106, 449891, 439918
1107, 4319416, 4309443
1108, 449893, 439920
1109, 4319418, 4309445
1110, 449895, 439922
1111, 4319420, 4309447
1112, 449897, 439924
1113, 4319422, 4309449
1114, 449899, 439926
1115, 4319424, 4309451
1116, 449901, 439928
1117, 4319426, 4309453
1118, 449903, 439930
1119, 4319428, 4309455
1120, 449905, 439932
1121, 4319430, 4309457
1122, 449907, 439934
1123, 4319432, 4309459
1124, 449909, 439936
1125, 4319434, 4309461
1126, 449911, 439938
1127, 4319436, 4309463
1128, 449913, 439940
1129, 4319438, 4309465
1130, 449915, 439942
1131, 4319440, 4309467
1132, 449917, 439944
1133, 4319442, 4309469
1134, 449919, 439946
1135, 4319444, 4309471
1136, 449921, 439948
1137, 4319446, 4309473
1138, 539680, 529707
1139, 4319448, 4309475
1140, 449925, 439952
1141, 4409207, 4399234
1142, 539684, 529711
1143, 4319452, 4309479
1144, 449929, 439956
1145, 4409211, 4399238
1146, 539688, 529715
1147, 4319456, 4309483
1148, 449933, 439960
1149, 4409215, 4399242
1150, 539692, 529719
1151, 4319460, 4309487
1152, 449937, 439964
1153, 4409219, 4399246
1154, 539696, 529723
1155, 4319464, 4309491
1156, 539698, 529725
1157, 4409223, 4399250
1158, 539700, 529727
1159, 4409225, 4399252
1160, 449945, 439972
1161, 4409227, 4399254
1162, 539704, 529731
1163, 4319472, 4309499
1164, 539706, 529733
1165, 4409231, 4399258
1166, 539708, 529735
1167, 4409233, 4399260
1168, 539710, 529737
1169, 4409235, 4399262
1170, 539712, 529739
1171, 4409237, 4399264
1172, 539714, 529741
1173, 4409239, 4399266
1174, 539716, 529743
1175, 4409241, 4399268
1176, 539718, 529745
1177, 4409243, 4399270
1178, 539720, 529747
1179, 4409245, 4399272
1180, 539722, 529749
1181, 4409247, 4399274
1182, 539724, 529751
1183, 4409249, 4399276
1184, 539726, 529753
1185, 4409251, 4399278
1186, 539728, 529755
1187, 4409253, 4399280
1188, 539730, 529757
1189, 4409255, 4399282
1190, 539732, 529759
1191, 4409257, 4399284
1192, 539734, 529761
