# n=12, modulus d=5, coefficients d=5
# Frobenius number = 1312918, Frobenius root = 2001, Apery max = 1322925
coefficients = [10007, 18013, 27011, 36007, 45007, 54001, 63013, 72019, 81001, 90007, 95003, 99989]


586, 560978, 550971
587, 570986, 560979
588, 570987, 560980
589, 570988, 560981
590, 560982, 550975
591, 560983, 550976
592, 560984, 550977
593, 570992, 560985
594, 601014, 591007
595, 530966, 520959
596, 560988, 550981
597, 560989, 550982
598, 550983, 540976
599, 550984, 540977
600, 560992, 550985
601, 560993, 550986
602, 560994, 550987
603, 560995, 550988
604, 560996, 550989
605, 560997, 550990
606, 560998, 550991
607, 560999, 550992
608, 550993, 540986
609, 550994, 540987
610, 550995, 540988
611, 550996, 540989
612, 550997, 540990
613, 561005, 550998
614, 520978, 510971
615, 551000, 540993
616, 551001, 540994
617, 551002, 540995
618, 551003, 540996
619, 551004, 540997
620, 520984, 510977
621, 480957, 470950
622, 551007, 541000
623, 541001, 530994
624, 541002, 530995
625, 520989, 510982
626, 520990, 510983
627, 510984, 500977
628, 510985, 500978
629, 541007, 531000
630, 520994, 510987
631, 520995, 510988
632, 480968, 470961
633, 541011, 531004
634, 480970, 470963
635, 541013, 531006
636, 541014, 531007
637, 521001, 510994
638, 510995, 500988
639, 510996, 500989
640, 510997, 500990
641, 541019, 531012
642, 521006, 510999
643, 531014, 521007
644, 521008, 511001
645, 511002, 500995
646, 470975, 460968
647, 470976, 460969
648, 511005, 500998
649, 511006, 500999
650, 511007, 501000
651, 480987, 470980
652, 501002, 490995
653, 470982, 460975
654, 501004, 490997
655, 511012, 501005
656, 470985, 460978
657, 470986, 460979
658, 470987, 460980
659, 470988, 460981
660, 470989, 460982
661, 511018, 501011
662, 501012, 491005
663, 470992, 460985
664, 470993, 460986
665, 470994, 460987
666, 460988, 450981
667, 460989, 450982
668, 470997, 460990
669, 470998, 460991
670, 470999, 460992
671, 460993, 450986
672, 460994, 450987
673, 460995, 450988
674, 471003, 460996
675, 501025, 491018
676, 430977, 420970
677, 460999, 450992
678, 461000, 450993
679, 450994, 440987
680, 450995, 440988
681, 461003, 450996
682, 461004, 450997
683, 461005, 450998
684, 461006, 450999
685, 461007, 451000
686, 461008, 451001
687, 461009, 451002
688, 461010, 451003
689, 451004, 440997
690, 451005, 440998
691, 451006, 440999
692, 451007, 441000
693, 451008, 441001
694, 461016, 451009
695, 420989, 410982
696, 451011, 441004
697, 451012, 441005
698, 451013, 441006
699, 451014, 441007
700, 451015, 441008
701, 420995, 410988
702, 380968, 370961
703, 451018, 441011
704, 441012, 431005
705, 441013, 431006
706, 421000, 410993
707, 421001, 410994
708, 410995, 400988
709, 410996, 400989
710, 441018, 431011
711, 421005, 410998
712, 421006, 410999
713, 380979, 370972
714, 441022, 431015
715, 380981, 370974
716, 441024, 431017
717, 441025, 431018
718, 421012, 411005
719, 411006, 400999
720, 411007, 401000
721, 411008, 401001
722, 441030, 431023
723, 421017, 411010
724, 441032, 431025
725, 421019, 411012
726, 411013, 401006
727, 370986, 360979
728, 370987, 360980
729, 411016, 401009
730, 411017, 401010
731, 411018, 401011
732, 380998, 370991
733, 401013, 391006
734, 370993, 360986
735, 401015, 391008
736, 411023, 401016
737, 370996, 360989
738, 370997, 360990
739, 370998, 360991
740, 370999, 360992
741, 371000, 360993
742, 411029, 401022
743, 411030, 401023
744, 371003, 360996
745, 371004, 360997
746, 371005, 360998
747, 360999, 350992
748, 361000, 350993
749, 371008, 361001
750, 371009, 361002
751, 371010, 361003
752, 361004, 350997
753, 361005, 350998
754, 361006, 350999
755, 371014, 361007
756, 401036, 391029
757, 330988, 320981
758, 361010, 351003
759, 361011, 351004
760, 351005, 340998
761, 351006, 340999
762, 361014, 351007
763, 361015, 351008
764, 361016, 351009
765, 361017, 351010
766, 361018, 351011
767, 361019, 351012
768, 361020, 351013
769, 361021, 351014
770, 351015, 341008
771, 351016, 341009
772, 351017, 341010
773, 351018, 341011
774, 351019, 341012
775, 361027, 351020
776, 321000, 310993
777, 351022, 341015
778, 351023, 341016
779, 351024, 341017
780, 351025, 341018
781, 351026, 341019
782, 321006, 310999
783, 280979, 270972
784, 351029, 341022
785, 351030, 341023
786, 351031, 341024
787, 321011, 311004
788, 321012, 311005
789, 311006, 300999
790, 311007, 301000
791, 351036, 341029
792, 321016, 311009
793, 321017, 311010
794, 280990, 270983
795, 351040, 341033
796, 280992, 270985
797, 351042, 341035
798, 351043, 341036
799, 321023, 311016
800, 311017, 301010
801, 311018, 301011
802, 311019, 301012
803, 351048, 341041
804, 321028, 311021
805, 351050, 341043
806, 321030, 311023
807, 311024, 301017
808, 270997, 260990
809, 270998, 260991
810, 311027, 301020
811, 311028, 301021
812, 311029, 301022
813, 281009, 271002
814, 311031, 301024
815, 271004, 260997
816, 351061, 341054
817, 351062, 341055
818, 271007, 261000
819, 271008, 261001
820, 271009, 261002
821, 271010, 261003
822, 271011, 261004
823, 311040, 301033
824, 311041, 301034
825, 271014, 261007
826, 271015, 261008
827, 271016, 261009
828, 261010, 251003
829, 261011, 251004
830, 271019, 261012
831, 271020, 261013
832, 271021, 261014
833, 261015, 251008
834, 261016, 251009
835, 261017, 251010
836, 271025, 261018
837, 311054, 301047
838, 230999, 220992
839, 261021, 251014
840, 261022, 251015
841, 261023, 251016
842, 311059, 301052
843, 271032, 261025
844, 261026, 251019
845, 261027, 251020
846, 261028, 251021
847, 261029, 251022
848, 261030, 251023
849, 261031, 251024
850, 261032, 251025
851, 261033, 251026
852, 261034, 251027
853, 261035, 251028
854, 261036, 251029
855, 261037, 251030
856, 261038, 251031
857, 221011, 211004
858, 261040, 251033
859, 261041, 251034
860, 261042, 251035
861, 261043, 251036
862, 261044, 251037
863, 221017, 211010
864, 180990, 170983
865, 261047, 251040
866, 261048, 251041
867, 261049, 251042
868, 221022, 211015
869, 221023, 211016
870, 221024, 211017
871, 261053, 251046
872, 261054, 251047
873, 261055, 251048
874, 221028, 211021
875, 181001, 170994
876, 261058, 251051
877, 181003, 170996
878, 261060, 251053
879, 261061, 251054
880, 221034, 211027
881, 261063, 251056
882, 221036, 211029
883, 221037, 211030
884, 261066, 251059
885, 221039, 211032
886, 261068, 251061
887, 221041, 211034
888, 221042, 211035
889, 171008, 161001
890, 171009, 161002
891, 261073, 251066
892, 261074, 251067
893, 261075, 251068
894, 181020, 171013
895, 261077, 251070
896, 171015, 161008
897, 261079, 251072
898, 261080, 251073
899, 221053, 211046
900, 171019, 161012
901, 171020, 161013
902, 171021, 161014
903, 171022, 161015
904, 221058, 211051
905, 261087, 251080
906, 171025, 161018
907, 171026, 161019
908, 171027, 161020
909, 171028, 161021
910, 261092, 251085
911, 171030, 161023
912, 261094, 251087
913, 171032, 161025
914, 171033, 161026
915, 171034, 161027
916, 261098, 251091
917, 171036, 161029
918, 351163, 341156
919, 131010, 121003
920, 171039, 161032
921, 171040, 161033
922, 171041, 161034
923, 221077, 211070
924, 171043, 161036
925, 171044, 161037
926, 171045, 161038
927, 171046, 161039
928, 171047, 161040
929, 171048, 161041
930, 171049, 161042
931, 171050, 161043
932, 261114, 251107
933, 261115, 251108
934, 171053, 161046
935, 351180, 341173
936, 171055, 161048
937, 441245, 431238
938, 131029, 121022
939, 171058, 161051
940, 221094, 211087
941, 171060, 161053
942, 311159, 301152
943, 171062, 161055
944, 171063, 161056
945, 81001, 70994
946, 171065, 161058
947, 171066, 161059
948, 261130, 251123
949, 261131, 251124
950, 351195, 341188
951, 351196, 341189
952, 441260, 431253
953, 171072, 161065
954, 531325, 521318
955, 171074, 161067
956, 81012, 71005
957, 261139, 251132
958, 81014, 71007
959, 351204, 341197
960, 171079, 161072
961, 441269, 431262
962, 171081, 161074
963, 171082, 161075
964, 261146, 251139
965, 261147, 251140
966, 351211, 341204
967, 351212, 341205
968, 441276, 431269
969, 441277, 431270
970, 81026, 71019
971, 531342, 521335
972, 171091, 161084
973, 621407, 611400
974, 261156, 251149
975, 81031, 71024
976, 351221, 341214
977, 81033, 71026
978, 441286, 431279
979, 171098, 161091
980, 531351, 521344
981, 261163, 251156
982, 621416, 611409
983, 351228, 341221
984, 711481, 701474
985, 441293, 431286
986, 801546, 791539
987, 531358, 521351
988, 891611, 881604
989, 621423, 611416
990, 981676, 971669
991, 711488, 701481
992, 1071741, 1061734
993, 801553, 791546
994, 81050, 71043
995, 891618, 881611
996, 171115, 161108
997, 981683, 971676
998, 261180, 251173
999, 1071748, 1061741
1000, 351245, 341238
1001, 1161813, 1151806
1002, 441310, 431303
1003, 1251878, 1241871
1004, 531375, 521368
1005, 1291908, 1281901
1006, 621440, 611433
1007, 1311924, 1301917
1008, 711505, 701498
1009, 1301919, 1291912
1010, 801570, 791563
1011, 1301921, 1291914
1012, 891635, 881628
1013, 1321937, 1311930
1014, 981700, 971693
1015, 1301925, 1291918
1016, 1071765, 1061758
1017, 1291920, 1281913
1018, 1161830, 1151823
1019, 1261901, 1251894
1020, 1251895, 1241888
1021, 1261903, 1251896
1022, 1261904, 1251897
1023, 1261905, 1251898
1024, 1251899, 1241892
1025, 1251900, 1241893
1026, 1251901, 1241894
1027, 1291930, 1281923
1028, 1261910, 1251903
1029, 1261911, 1251904
1030, 1261912, 1251905
1031, 1251906, 1241899
1032, 1251907, 1241900
1033, 1261915, 1251908
1034, 1251909, 1241902
1035, 1251910, 1241903
1036, 1251911, 1241904
1037, 1251912, 1241905
1038, 1251913, 1241906
1039, 1221893, 1211886
1040, 1261922, 1251915
1041, 1251916, 1241909
1042, 1251917, 1241910
1043, 1251918, 1241911
1044, 1241912, 1231905
1045, 1241913, 1231906
1046, 1251921, 1241914
1047, 1251922, 1241915
1048, 1251923, 1241916
1049, 1241917, 1231910
1050, 1241918, 1231911
1051, 1241919, 1231912
1052, 1241920, 1231913
1053, 1251928, 1241921
1054, 1211901, 1201894
1055, 1241923, 1231916
1056, 1241924, 1231917
1057, 1231918, 1221911
1058, 1231919, 1221912
1059, 1231920, 1221913
1060, 1211907, 1201900
1061, 1241929, 1231922
1062, 1241930, 1231923
1063, 1241931, 1231924
1064, 1211911, 1201904
1065, 1211912, 1201905
1066, 1241934, 1231927
1067, 1211914, 1201907
1068, 1231929, 1221922
1069, 1231930, 1221923
1070, 1231931, 1221924
1071, 1211918, 1201911
1072, 1211919, 1201912
1073, 1201913, 1191906
1074, 1171893, 1161886
